window_index,ClassPrior,Centroid,DiagGaussian,LinearSoftmax
37,0.1734104046,0.172520953,0.234975852,0.4240758902
38,0.08219178082,0.1341719078,0.3284580127,0.4856697452
39,0.1015452539,0.08644546942,0.2976297346,0.3098612788
40,0.06360424028,0.1724806202,0.2776334776,0.3598986691
41,0.05931198102,0.05931198102,0.2954876274,0.4673523141
42,0.1447502548,0.2046238245,0.259180958,0.3500687755
43,0.1617357002,0.1587301587,0.2032101608,0.3309188698
44,0.1804368471,0.2774011149,0.3111684996,0.5473257369
45,0.1494949495,0.2074052758,0.2940853502,0.4052050505
46,0.1965105601,0.2827934603,0.2251511314,0.4285862879
47,0.2003642987,0.3014721685,0.2627827996,0.3367765568
48,0.2127659574,0.245734767,0.2037404127,0.3280631132
49,0.2210617929,0.3001153175,0.1974537121,0.3905723906
50,0.1899441341,0.2656053624,0.2359404611,0.4278378018
51,0.1617357002,0.2794223456,0.3026394385,0.4118823648
52,0.1282860147,0.2001472135,0.2680722884,0.4241080981
53,0.09009009009,0.1309787773,0.3738503535,0.4674140955
54,0.1214057508,0.2445106477,0.3010526043,0.494481857
55,0.1818181818,0.3214936248,0.2490237393,0.4533147711
56,0.08018327606,0.1473725034,0.4429347139,0.5915256219
57,0.1214057508,0.2093252099,0.3954944379,0.445269478
58,0.1071038251,0.1532727696,0.3710287828,0.5744450062
59,0.1494949495,0.2475086266,0.3027490663,0.4514088568
60,0.185915493,0.2783957845,0.2811334723,0.4033042225
61,0.1214057508,0.1403508772,0.3436449473,0.3442393418
62,0.06783625731,0.1517300666,0.3846261919,0.3329406265
63,0.1214057508,0.1531597604,0.3206060606,0.3265413744
64,0.131661442,0.2620271517,0.3655186353,0.4359256506
65,0.1632251721,0.2527035623,0.2943421211,0.4254903773
66,0.2016348774,0.2649746897,0.2116991686,0.38580611
67,0.1349948079,0.2243202208,0.330345792,0.4111272714
68,0.1818181818,0.2129435202,0.2471435388,0.4164304516
69,0.1804368471,0.2389465486,0.3150338227,0.5116244867
70,0.07816091954,0.1277430865,0.3964701148,0.3080198268
71,0.1399176955,0.2052287582,0.3193248293,0.3336905257
72,0.09395973154,0.1284246143,0.3235506537,0.2461212405
73,0.1089324619,0.2013415558,0.3968499138,0.2370309747
74,0.09009009009,0.1394086921,0.2924593279,0.4715613626
75,0.1587301587,0.2741850918,0.2752797753,0.5261434218
76,0.1052631579,0.1728495404,0.2793059777,0.4904518925
77,0.1690962099,0.2695712666,0.4103517415,0.4151746522
78,0.1925925926,0.3623435722,0.2877592695,0.3844528136
79,0.1978021978,0.3036363636,0.3097636781,0.3151121852
80,0.1349948079,0.2620045399,0.3045608171,0.3556304309
81,0.2054054054,0.3266102522,0.2174035579,0.3814360582
82,0.2054054054,0.338365146,0.292524094,0.4787429204
83,0.2127659574,0.2800282785,0.2423931624,0.4153498466
84,0.103410341,0.1020408163,0.2899680256,0.1954839379
85,0.09009009009,0.05054151625,0.3185178012,0.1755694321
86,0.1231422505,0.1215106732,0.271798527,0.3402254186
87,0.1248677249,0.1749026655,0.3148024309,0.3612495175
88,0.1431492843,0.2728782954,0.2483657857,0.3626780627
89,0.09395973154,0.09997876181,0.3866417678,0.2559413852
90,0.08616780045,0.1654680008,0.3283760313,0.3082087042
91,0.1510574018,0.1517094017,0.3648800179,0.4046487693
92,0.1231422505,0.1464160839,0.3156837755,0.3169730155
93,0.07407407407,0.1500985638,0.3013513514,0.2358998904
94,0.036900369,0.08737966783,0.3773109244,0.2543262625
95,0.06360424028,0.1792194879,0.4060013336,0.351875624
96,0.05931198102,0.07877169559,0.3041933191,0.3042635659
97,0.07407407407,0.1463414634,0.3113793716,0.3016115945
98,0.103410341,0.09587513935,0.2995244669,0.2744256489
99,0.01277139208,0.05054151625,0.3709082527,0.1600062933
100,0.0202020202,0.08073817762,0.3819989534,0.2409032671
101,0.1299790356,0.1413892736,0.3500241237,0.2875998794
102,0.09966777409,0.2113151095,0.3454265524,0.4587168056
103,0.09587513935,0.2909674549,0.3432971014,0.3358134921
104,0.06783625731,0.1052631579,0.3571419787,0.2359672146
105,0.1015452539,0.1405402943,0.4507046355,0.2796769064
106,0.1089324619,0.08180292496,0.3316656498,0.2513748488
