window_index,DLinear,PatchTST,iTransformer,TimesNet,ZeroPred,Persistence,HAR_EWM
1268,0.610195756,0.6031169295,0.6166476607,0.6024939418,0.606311202,0.7222712636,0.6030573249
1269,0.6313650012,0.6445636153,0.6143587232,0.6060662866,0.6140799522,0.847010076,0.6078454852
1270,0.6328153014,0.6349987388,0.6318027973,0.6190874577,0.6316749454,0.6959300041,0.623701036
1271,0.648229301,0.6444731355,0.6407117844,0.6372482181,0.6448035836,0.6391903758,0.6390023828
1272,0.5538215041,0.5311431885,0.5605376363,0.5388248563,0.5486242175,10.73045826,0.5491245389
1273,0.5432508588,0.5380782485,0.537240088,0.5311432481,0.5354299545,1.603075981,0.5309076905
1274,0.5539597869,0.5482161641,0.5484374166,0.5367880464,0.5392054319,0.5302029252,0.5340718627
1275,0.5411421657,0.5380797386,0.5393517613,0.5264793038,0.531034708,1.179475784,0.524240911
1276,0.5412948132,0.5364806652,0.5265515447,0.5253285766,0.5282971859,0.7217527032,0.5214055181
1277,0.5049092174,0.5086308718,0.5071613193,0.4833257198,0.4920076132,3.798618317,0.4904446304
1278,0.4978666306,0.5079638362,0.4879351854,0.4786052704,0.4863763154,1.146521091,0.491547823
1279,0.4911890328,0.4910156429,0.4913333654,0.4817844927,0.4867651463,0.5442357063,0.4946773946
1280,0.5100450516,0.4956811368,0.4981272221,0.4911474288,0.4936323166,1.105719328,0.4925759733
1281,0.4946133196,0.4977825582,0.4940957725,0.4822586775,0.4864159524,1.327180743,0.4816016257
1282,0.4928766787,0.4776611328,0.4843292236,0.4775835574,0.4833420217,1.122484565,0.4804693162
1283,0.4936380386,0.4812363684,0.4856645167,0.4821058214,0.4839648306,0.9808018804,0.4796487391
1284,0.4891009331,0.4791806042,0.4885433912,0.476824522,0.4815212786,0.8009416461,0.4759909213
1285,0.4910648167,0.4897788465,0.4762549698,0.4798009694,0.4833631814,0.4996218383,0.4783600271
1286,0.4886421263,0.5103241801,0.4919773042,0.4838682115,0.483410567,0.4883684218,0.4782415926
1287,0.4922643006,0.4812636077,0.4934310019,0.4835869372,0.482965827,0.5387974381,0.4787311852
1288,0.4922164977,0.4883693159,0.488805443,0.4815795124,0.4829690754,0.6362578273,0.4791226387
1289,0.4891951084,0.4859626293,0.4825231135,0.4813279212,0.4818669558,0.5483822227,0.4789458215
1290,0.4887559116,0.4884501398,0.4759153426,0.4748375416,0.4768927097,0.9607188106,0.4780371189
1291,0.5018788576,0.5030527115,0.4863500595,0.4908914268,0.4911065996,0.7716450691,0.491990298
1292,0.5114352703,0.5148482323,0.4878806174,0.4932793379,0.4959391654,0.9789919257,0.4925153255
1293,0.5079186559,0.5075685978,0.5021300316,0.4931482971,0.4933204949,0.7498371005,0.4920680523
1294,0.5104312301,0.5186202526,0.489780277,0.4913149774,0.4925476611,0.5930590034,0.4922184646
1295,0.4957401752,0.4988484383,0.4908952713,0.4881648123,0.4921408892,0.6069335938,0.4907368124
1296,0.4926570952,0.4825803936,0.4790714681,0.4808342457,0.4864879549,1.351050854,0.4833714664
1297,0.4719859064,0.4801944196,0.4590431452,0.4559811056,0.4616790712,3.377445936,0.4599430859
1298,0.4408150911,0.4351094067,0.4338900149,0.4370787442,0.4394870996,2.500272751,0.435980171
1299,0.4365898669,0.436964184,0.4247492552,0.4249619246,0.42796731,1.682390213,0.4252758324
1300,0.4364755154,0.4463479519,0.4286461771,0.4238423407,0.4261637926,0.5444534421,0.4228049219
1301,0.4257006347,0.4214920998,0.4207410514,0.4212822914,0.4253542721,0.5612308383,0.4226284921
1302,0.4228381813,0.4443364143,0.4228514731,0.4176759422,0.4211915433,0.9279753566,0.4204057157
1303,0.4452756345,0.4305580556,0.4387327731,0.4368802607,0.440063566,0.460511595,0.4395327568
1304,0.449485153,0.4417124689,0.4403312504,0.4396130145,0.4428321123,0.4871030748,0.4410742819
1305,0.4515194893,0.4606516361,0.4376618862,0.4379456043,0.4448046982,0.4644171298,0.4424806535
1306,0.4529076815,0.4428979456,0.4453687966,0.442204088,0.4453828633,0.439992696,0.4428620338
1307,0.4524871409,0.452241689,0.4393457174,0.4406224191,0.4454625845,0.4406704903,0.4426473677
1308,0.4524414539,0.4597211778,0.4464067519,0.4399992526,0.4457161427,1.063572884,0.4408421218
1309,0.4366610348,0.4332930148,0.4216236174,0.4223970473,0.4233818352,2.457113266,0.4208033979
1310,0.4308063984,0.444527775,0.4209570885,0.4199728072,0.4248849452,0.5180572867,0.4207340777
1311,0.4314538538,0.4157510698,0.4150150716,0.4207372963,0.4244464934,0.5433192849,0.4195019305
1312,0.4345414639,0.4288228452,0.4255424738,0.424384594,0.4284727275,0.4370252788,0.4243242741
1313,0.434006691,0.4482369423,0.4257304668,0.4263875484,0.4287830889,0.4287749529,0.4248631895
1314,0.4332254827,0.4146502018,0.4262063503,0.4250081778,0.4282843769,0.4524625242,0.4247713089
1315,0.4265235662,0.4183700085,0.4224956334,0.4187737703,0.4246850908,0.922752142,0.4204398096
1316,0.4292214215,0.4450173378,0.4250854552,0.4197373688,0.4237349331,0.4896046221,0.4194078743
1317,0.4300319254,0.4195468128,0.418627888,0.4243888557,0.4266304672,0.6219565272,0.4238631725
1318,0.4350731373,0.4291837215,0.4316240847,0.4251960814,0.4276894033,0.5776265264,0.4238388538
