window_index,DLinear,PatchTST,iTransformer,TimeMixer,ZeroPred,Persistence,HAR_EWM
766,0.2726078033,0.2289510965,0.4124858379,0.3127475679,0.4745606482,0.2160951495,0.218517825
767,0.2720085979,0.2582363188,0.5015497804,0.3020836711,0.4855531752,0.2382714301,0.2198942453
768,0.2814353406,0.2713219225,0.4136427641,0.2915831804,0.4923645556,0.2555777729,0.2199927568
769,0.2459195256,0.2516750991,0.2804315388,0.2487169653,0.4746664464,0.2810927927,0.2373282462
770,0.2535167336,0.2663075626,0.2835942507,0.2427208424,0.4505229294,0.3539706171,0.248206839
771,0.2592164576,0.2348734885,0.285225302,0.2312660217,0.4364658892,0.2901562154,0.248727873
772,0.2473588437,0.2447156459,0.2903732955,0.2391962409,0.4831043184,0.2713645101,0.2668144405
773,0.283564955,0.2962614894,0.3005003631,0.2766565382,0.5420367122,0.3019444942,0.2926579118
774,0.3300486803,0.2984783053,0.2819654644,0.3015328348,0.5662133098,0.6889955997,0.28574121
775,0.3617427349,0.301389575,0.3768672049,0.3360435963,0.6062608957,0.4927868843,0.2956030369
776,0.3377451897,0.3121987581,0.3016408682,0.3333655298,0.6182549,0.325710535,0.2978262901
777,0.3139162958,0.2549653649,0.2960427403,0.2992121279,0.6310378909,0.3122704625,0.301217109
778,0.272282213,0.2248883843,0.2729197741,0.2576875389,0.5725944638,1.029894352,0.259362936
779,0.2851240933,0.2475527972,0.2671512961,0.2605637014,0.5818867683,0.860517323,0.2456049174
780,0.2975539565,0.2638771534,0.2709413767,0.274273783,0.6062265635,0.4461692572,0.2490196824
781,0.2388098836,0.2297993898,0.2931384742,0.2569324076,0.6260590553,0.2222451419,0.2556178868
782,0.1951959729,0.1989514977,0.2022807598,0.2267773151,0.5952928066,0.378554672,0.2375210971
783,0.2183724493,0.2136972547,0.2002168894,0.2108504772,0.6070590615,0.302275449,0.2399612665
784,0.2742690146,0.2569227517,0.2219772339,0.2366222143,0.6526171565,0.3726668358,0.2551808953
785,0.221679613,0.1905640215,0.1903707534,0.2139778286,0.6342449188,0.4214976132,0.2398179621
786,0.2044576406,0.187697351,0.2234379053,0.202319935,0.6023187041,0.4615542591,0.2201355845
787,0.2012894303,0.1797546893,0.2069445401,0.2067942023,0.6162225604,0.215444997,0.223194018
788,0.2628017366,0.184230268,0.2910726368,0.2312579751,0.6367773414,1.673666,0.1952728778
789,0.3391370773,0.2822702229,0.3085874319,0.2690858543,0.7308498025,0.725273788,0.2369499207
790,0.2287079692,0.2178765088,0.1829661578,0.1796917468,0.7207262516,0.1993882209,0.2238506824
791,0.2294475585,0.1830875427,0.2022060603,0.1794219464,0.7042810321,0.1781570464,0.2281370312
792,0.2350973487,0.2255423069,0.2177520841,0.1832191497,0.694100678,0.2329406291,0.2447577566
793,0.2858297527,0.2372906655,0.2021282464,0.2228705287,0.692802906,1.130362391,0.2358319759
794,0.3406614363,0.2252385616,0.3887553215,0.2603143156,0.7181169391,0.9652175903,0.2351831198
795,0.3111778498,0.2201231271,0.3762880266,0.2841264904,0.7307650447,0.3838578463,0.2383357137
796,0.1750791073,0.1390820146,0.2601970434,0.1339024901,0.6914520264,0.2658199966,0.2077687532
797,0.4889210165,0.4976211786,0.5008676648,0.4472195804,0.8537734151,0.9120653272,0.5031033158
798,0.5477269292,0.5168988705,0.5096819997,0.480840832,0.8324810863,0.5626382232,0.5233032107
799,0.5328276753,0.5117719769,0.5457060933,0.4914587736,0.8203120828,0.702018559,0.5163174272
800,0.5607993007,0.5385063887,0.5254529119,0.4990191758,0.8299042583,0.5241009593,0.5188038349
801,0.5670787692,0.537714839,0.5582630038,0.4999484122,0.8061668277,0.6761119962,0.510289371
802,0.5783128738,0.573372066,0.6096709371,0.5536327958,0.8652098775,0.6114553809,0.5415728688
803,0.5888649225,0.5942921638,0.6325493455,0.5341544747,0.9018502235,0.5564023852,0.5535610914
804,0.5943246484,0.5593207479,0.641502738,0.5479705334,0.9069941044,0.5843085647,0.5545089841
805,0.6041292548,0.6099197268,0.6275227666,0.5934639573,0.9442468286,0.6845159531,0.5726613998
806,0.6231713295,0.6118627787,0.6154509187,0.5896163583,0.9760521054,0.582660675,0.5822853446
807,0.5974097848,0.6176349521,0.6460633278,0.5152601004,0.9622994065,0.7536231875,0.5744636059
808,0.6070664525,0.6459248662,0.6044923663,0.5697264075,0.9944054484,0.7809632421,0.5899507999
809,0.5716815591,0.6263308525,0.6020312905,0.5932443738,0.9888084531,0.6436713338,0.5873841047
810,0.5911825299,0.6169278622,0.652140677,0.5800464153,0.9816336632,0.5935745835,0.5863451958
811,0.5945987701,0.6537991166,0.6128893495,0.5721441507,0.9585183263,0.6234959364,0.5885916352
812,0.5963472724,0.6575125456,0.6370363832,0.6051606536,0.9287449718,0.6806261539,0.590393424
813,0.6387605071,0.655777216,0.6594032049,0.6398969293,0.846244514,1.476563096,0.5611860156
814,0.6097078919,0.630182445,0.6305957437,0.5879049897,0.8233010173,0.6541890502,0.562728703
815,0.5447774529,0.5783689618,0.552105248,0.5889784098,0.8599403501,0.7921426892,0.5504903197
816,0.5492281318,0.558804214,0.5169971585,0.5878389478,0.8591105342,1.05538249,0.5369377732
817,0.5757536888,0.5519239306,0.512332499,0.5762858391,0.8763730526,0.6913778782,0.5299052596
818,0.6016944647,0.6077278256,0.5532976985,0.5643737912,0.8565389514,0.6303181648,0.5687527657
819,0.6189089417,0.5845059752,0.5448870063,0.5746955276,0.8414668441,0.5939037204,0.5902237892
820,0.6293655038,0.5734369755,0.5974200964,0.6087893844,0.8283217549,0.595774889,0.5988844037
821,0.6472300887,0.4554953575,0.6190519333,0.627948761,0.6040358543,8.876976013,0.2522965968
822,0.4641775191,0.5811946988,0.673481524,0.4597909451,0.6071451306,1.042601228,0.2324413806
823,0.2790182531,0.2329030484,0.6515387893,0.2820785344,0.6068696976,0.251804322,0.2297379375
824,0.253980428,0.2511970103,0.3409174979,0.2550923824,0.6054058671,0.2443441004,0.2270038873
825,0.2553246617,0.2033881992,0.5449484587,0.2141382694,0.6110576987,0.215147391,0.2276189178
826,0.140906468,0.1435900182,0.1354326904,0.1328250617,0.5314093232,0.9330627918,0.1867556572
827,0.1344919652,0.1366862208,0.1938487142,0.1129191816,0.5071696639,0.4177566767,0.1757882386
828,0.1239669695,0.1267935634,0.1371857077,0.1272438169,0.4810284078,0.2640339136,0.1742266864
829,0.1465559453,0.1597097963,0.2145794779,0.1292503625,0.4960798323,0.7962264419,0.1837877631
830,0.1438086182,0.1778817326,0.1613653153,0.1307974905,0.4542996883,0.4323089123,0.1814852953
831,0.171227172,0.180792287,0.2059310824,0.1399635524,0.4732438624,0.3057262897,0.1901536137
832,0.2055940032,0.1825670451,0.177935645,0.1494455934,0.443618685,0.9204437137,0.1788368672
833,0.1786941886,0.1593456715,0.1951530725,0.1444838047,0.4414891303,0.2429527193,0.1794344932
834,0.1727274507,0.1712781936,0.1711592078,0.1397534758,0.4764820635,0.1830839962,0.1880353242
835,0.1829651147,0.1729699373,0.1903728992,0.1584646106,0.5383931994,0.2902164161,0.1982537955
836,0.1914166957,0.1949425936,0.2272264212,0.1807712913,0.5647026896,0.3179393709,0.194644466
837,0.2226077467,0.1992978901,0.207815364,0.2242551297,0.6142376065,0.2207503766,0.2096286267
838,0.2325871736,0.2556895912,0.2326967269,0.2071893364,0.6073100567,0.2675188184,0.2227916718
839,0.2412943244,0.2247193605,0.162074402,0.2070988268,0.5812963843,0.3322258592,0.2183992863
840,0.2222483903,0.2291229516,0.157131955,0.1926112175,0.5867512822,0.5197073221,0.208540082
841,0.2343637198,0.2161712497,0.1510764211,0.1845728606,0.5686839819,0.2235117704,0.2175066471
842,0.2273061723,0.2501016855,0.2472703457,0.1843907833,0.5625920892,1.195638537,0.1894195527
843,0.2695340514,0.3027245402,0.1917364001,0.2203617245,0.5921489596,0.7671775818,0.1765618473
844,0.273436904,0.3914481401,0.3525064886,0.2083712816,0.6205044389,0.4537313879,0.176162824
845,0.2808765471,0.2093555182,0.1970781535,0.2280484885,0.6339257956,0.3124073744,0.1763607711
846,0.2919771969,0.3058734238,0.1879444867,0.2217728496,0.6786219478,0.2619024813,0.1910348088
847,0.2714884579,0.2535845041,0.1625464112,0.1979825944,0.6769214272,0.1599749476,0.1871662587
848,0.2733526826,0.2504949272,0.1713305861,0.2099287063,0.7146406174,0.1625319868,0.2019612938
849,0.2903828323,0.2287262678,0.2035936117,0.2479324341,0.7748091817,0.1844868511,0.2287619561
850,0.3254921138,0.2309735566,0.1765093058,0.2438163757,0.8489001393,0.3170716166,0.2608296573
851,0.297036171,0.2455010414,0.1730524749,0.250269562,0.8340215683,0.1959049255,0.2564469278
852,0.3354608119,0.2853905857,0.1932222843,0.2788595259,0.8715083003,0.4451173246,0.2664402127
853,0.2734502852,0.2185282558,0.2893891633,0.2670941949,0.9226291776,0.6018635631,0.285559088
854,0.3779834211,0.3509009778,0.2384610921,0.3670870364,1.012071967,0.6268709302,0.3224049211
855,0.2974388897,0.2779943645,0.2503957748,0.3313115537,1.062896729,0.2642562091,0.3410832584
856,0.2679177225,0.2816922367,0.2442468852,0.2678600848,1.070120931,0.2629729211,0.3345440924
857,0.32372877,0.3389290571,0.261602968,0.3241953254,1.14121902,0.2744792998,0.3652471006
858,0.2891288996,0.319511652,0.2263082862,0.2656844854,1.096047282,0.2846161127,0.3492092788
859,0.2611763477,0.3940298259,0.2240539342,0.2550860941,1.030954719,0.4267220199,0.336629957
860,0.3064250052,0.3587056696,0.2325953245,0.2902417481,1.064005852,0.2867399752,0.3465201557
861,0.3036043346,0.2745811641,0.2293740958,0.2698997259,1.010525942,0.4176754057,0.3275601566
862,0.3345770836,0.3816856146,0.2169946879,0.2843046784,1.01081562,0.9869398475,0.3317122757
863,0.3092389107,0.3616825044,0.2501418293,0.2906897068,1.000030398,0.4113566875,0.3482539356
864,0.3251610994,0.3947886527,0.2625137866,0.2803194821,1.007186174,0.5255970359,0.348844856
865,0.3868673146,0.3473565876,0.2817259729,0.3136952817,1.023380756,0.8238716722,0.3455883563
866,0.467798084,0.3456299007,0.3334543705,0.3904892206,1.108982682,0.9608392715,0.3723110855
867,0.3439818621,0.2759536803,0.2871091068,0.3082704842,1.104778171,0.2707140744,0.3664278984
868,0.3674942553,0.3597629964,0.28949821,0.3014241457,1.151035786,0.2836783826,0.3827596605
869,0.4055260718,0.343944639,0.298612386,0.3745408952,1.219669223,0.3889913261,0.4105604589
