window_index,RidgeCov,TargetRidge,Trend,Seasonal,EWM,ZeroPred,Persistence,HAR_EWM
40,0.1177986637,0.2071875781,2.472888231,0.07626286149,0.3574064672,0.1998827457,0.1940671951,0.4884477556
41,0.09763274342,0.2047904283,2.200880289,0.07663780451,0.3459841311,0.1997072697,0.1811629087,0.4743004739
42,0.09081775695,0.2032570243,1.919214129,0.07686467469,0.3334164917,0.1996724606,0.1794280857,0.4583795071
43,0.0905283764,0.2022238225,1.591604233,0.07698469609,0.3194999993,0.1997521371,0.1930821389,0.4403438568
44,0.0911750868,0.2025685161,1.314711809,0.07707662135,0.3059508502,0.1999137998,0.216844514,0.4212743044
45,0.08288474381,0.2038544267,1.022893548,0.07713846117,0.2915301323,0.2001041919,0.2625388801,0.4007343352
46,0.08704992384,0.2058708817,0.7917687893,0.07723974437,0.2780338824,0.2004339695,0.3120184839,0.3800235689
47,0.07747790962,0.2079925686,0.6157920957,0.07736158371,0.265822053,0.2009104937,0.3566451967,0.3598408699
48,0.07887666672,0.2113266438,0.4579375684,0.07740849257,0.2534537017,0.2013072968,0.4260697365,0.3393537104
49,0.0784131214,0.2129983455,0.373213917,0.07752846926,0.2429843396,0.2018169016,0.4452852309,0.3205449581
50,0.08164959401,0.2151804715,0.3113804162,0.07757522911,0.2338803411,0.2022508234,0.4651795924,0.3029839098
51,0.08108291775,0.2187805027,0.2736870944,0.07744205743,0.2247688174,0.2027411908,0.5289412737,0.2861829102
52,0.1913179159,0.2230454236,0.2800946534,0.07700887322,0.2168968469,0.2030578405,0.5990931988,0.2698946595
53,0.2399897128,0.2279500216,0.3328911066,0.07603604347,0.2085577995,0.2031710744,0.6756728292,0.2542759478
54,0.2056158036,0.2338358313,0.4342626631,0.07458689064,0.2005586624,0.2028206587,0.7587979436,0.2391042709
55,0.09374690801,0.2373966426,0.5394813418,0.07298416644,0.1939781308,0.2024590224,0.7879255414,0.2257727534
56,0.1008029878,0.243024826,0.7026658058,0.07108143717,0.1883645505,0.2018374205,0.8484417796,0.2136620879
57,0.1008274853,0.2456378192,0.8411019444,0.06906421483,0.1844059229,0.2013328075,0.8484718204,0.2037215978
58,0.1000088379,0.2502289414,1.036697268,0.06695506722,0.1819335818,0.2009371072,0.8798730969,0.1956478804
59,0.1031988934,0.2551718652,1.262859344,0.06488548964,0.1806005239,0.2004022449,0.9119472504,0.1890386194
60,0.1031819806,0.2604629099,1.520028949,0.06275785714,0.1803906709,0.1997244209,0.9447720051,0.1838619709
61,0.1060554162,0.2617444694,1.707195401,0.06091491506,0.1813660115,0.1990653276,0.9120223522,0.1803675443
62,0.1091755629,0.2611608505,1.851015568,0.05927458778,0.1837272644,0.1986811757,0.8484942913,0.1786732078
63,0.1116010323,0.2608351409,1.998633504,0.05808410048,0.1866544932,0.1983195096,0.7878242135,0.1781765223
64,0.118899703,0.2589865923,2.089468241,0.05718420073,0.1903078556,0.1983195096,0.7021920681,0.1790088862
65,0.1293493062,0.2587127984,2.229547262,0.05650931224,0.1942002922,0.1983195096,0.6486820579,0.180500403
66,0.1286186427,0.258153528,2.367176294,0.05597123504,0.1982902288,0.1984214783,0.5980545878,0.1825886518
67,0.1193424985,0.2560981512,2.441079855,0.05569568276,0.2019914836,0.1987044215,0.5275653005,0.1851104498
68,0.1227134243,0.2547503412,2.56215477,0.05548777059,0.2050775141,0.1989650279,0.4841350615,0.1877530366
69,0.1171558425,0.2520322502,2.608413458,0.05529831722,0.2080475837,0.1991917044,0.4245136976,0.1902814656
70,0.1140438542,0.2496215105,2.702009201,0.05516521633,0.2098246366,0.1993960589,0.388378948,0.1927103549
71,0.112375848,0.2453897744,2.650950909,0.05502634868,0.2108359486,0.1996157914,0.3248253763,0.1947440356
72,0.2005423754,0.2413677424,2.633806944,0.0548706986,0.2116763741,0.19984366,0.2847474515,0.1964197755
73,0.1123352423,0.2366720438,2.536460876,0.05478076264,0.2108630389,0.2000385374,0.2414940745,0.1975080967
74,0.1032415703,0.2318218946,2.410019636,0.05469090864,0.2101314515,0.2002081871,0.2099054307,0.1979942769
75,0.09578739852,0.2264844924,2.321638107,0.05466293171,0.2088340968,0.2003147602,0.1939321756,0.1979880929
76,0.09402998537,0.220685482,2.216629267,0.05470043421,0.2070141882,0.2003393173,0.1845719814,0.1974965483
77,0.1086764559,0.2144750506,2.096452951,0.05480731651,0.2047280669,0.2002633214,0.1818400025,0.1965430975
78,0.1516640037,0.2079148293,1.962825894,0.05498711392,0.2020436972,0.2000679225,0.185751006,0.1951656938
79,0.1415847987,0.2006409913,1.867060542,0.05516717955,0.1992282867,0.1997824162,0.1921478659,0.1935742646
