window_index,DLinear,PatchTST,iTransformer,TimesNet
282,0.5606688261,0.5709789991,0.5646006465,0.5642216206
283,0.5605896711,0.5717756152,0.5625380278,0.5653579235
284,0.5628253222,0.5665151477,0.5615653992,0.5620970726
285,0.5621870756,0.5602704287,0.5575217605,0.5623434782
286,0.5629017949,0.5681679249,0.5617436767,0.560939312
287,0.5566647649,0.5668740273,0.5619994402,0.558254838
288,0.5611535907,0.5587753057,0.5590910912,0.56023103
289,0.5535869598,0.5530748963,0.555223465,0.5539927483
290,0.5579687953,0.5551682711,0.5544246435,0.554117918
291,0.5597469807,0.5563719869,0.5585505366,0.560026288
292,0.5612093806,0.5527955294,0.5609949827,0.5623377562
293,0.5591645241,0.55044204,0.5610192418,0.5587555766
294,0.5614219904,0.5678570271,0.5688104033,0.5678855181
295,0.5632807612,0.5677450895,0.5645760298,0.5668313503
296,0.5558853149,0.557025373,0.5514443517,0.5541614294
297,0.5561184883,0.557921648,0.5538666844,0.5532784462
298,0.5497348309,0.5461730957,0.5475760698,0.5486186147
299,0.5446717143,0.5623248816,0.5478994846,0.5465224385
300,0.5439116955,0.54521662,0.5463197827,0.5462279916
301,0.5461741686,0.5488553047,0.5420973897,0.5469166636
302,0.5449408293,0.548799336,0.5479044318,0.5465050936
303,0.5534742475,0.551132679,0.5459655523,0.5473132133
304,0.5301577449,0.520907104,0.5265416503,0.5256848931
305,0.5217101574,0.5271561146,0.5226203203,0.5223478675
306,0.5135242939,0.5143857002,0.5138218999,0.5142779946
307,0.5126832724,0.5225310326,0.5137341619,0.5126720667
308,0.5141896605,0.4990103245,0.5157490373,0.5110365748
309,0.5143787861,0.5076203942,0.5085986257,0.5112324357
310,0.5028598905,0.5081881881,0.5033961535,0.5019880533
311,0.5115427375,0.5176733136,0.5061877966,0.5088256598
312,0.5534018278,0.5619102716,0.5514881611,0.5539248586
313,0.540438056,0.5469996929,0.5416737795,0.5381237864
314,0.5380595326,0.5358653069,0.5348647833,0.5338819623
315,0.5298017859,0.5366755724,0.5252243876,0.5230327845
316,0.5246976018,0.5292604566,0.5188807249,0.5230842233
317,0.5286537409,0.5416949987,0.5252564549,0.5230963826
318,0.5343871713,0.521414876,0.5225784779,0.5214830041
319,0.5279673338,0.521107614,0.5261185765,0.5228538513
320,0.5260974169,0.5291089416,0.51981318,0.5181489587
321,0.5233582258,0.5183489919,0.5173167586,0.5179120898
322,0.521825254,0.5213178992,0.5181626081,0.5189102888
323,0.5273474455,0.5229022503,0.5163311958,0.5195878148
324,0.5351801515,0.5215331316,0.5219520926,0.5187546611
325,0.528240025,0.5224170089,0.5232654214,0.5186502934
326,0.5241084099,0.5269104838,0.5152214766,0.5186247826
327,0.5271628499,0.5276762843,0.5170050859,0.5192847252
328,0.5254965425,0.5396255255,0.5276483893,0.5199532509
329,0.5293081999,0.5330501795,0.5243222117,0.5177895427
330,0.5234344006,0.5259831548,0.5212920904,0.5191068053
331,0.5375154018,0.5488684773,0.5263397694,0.5282691121
332,0.5371688008,0.5356599689,0.5305019617,0.5284514427
333,0.5447869897,0.5471470356,0.5380010009,0.5324240327
334,0.5457839966,0.5544732809,0.5408884883,0.5423762202
335,0.5471940041,0.5582129955,0.547552228,0.5426639318
336,0.5525759459,0.5472782254,0.5465779305,0.5452449918
337,0.5755172372,0.574385941,0.5642219782,0.5673788786
338,0.5829928517,0.5771322846,0.5751401186,0.5738051534
339,0.5814184546,0.5736573339,0.5758096576,0.5743902326
340,0.5840710998,0.5765449405,0.581343472,0.5758445263
341,0.5672327876,0.5668287873,0.5678168535,0.5637866259
342,0.5647779107,0.5810000896,0.5670691133,0.5620308518
343,0.5596882105,0.5644983649,0.5601892471,0.557954669
344,0.5552809834,0.5724346638,0.5539527535,0.5563661456
345,0.5552714467,0.5551087856,0.5545256734,0.5576478839
346,0.5618701577,0.5514319539,0.5563664436,0.5581251383
347,0.5635582209,0.5809626579,0.5598777533,0.5619231462
348,0.5702111125,0.5646115541,0.5683728456,0.5621683598
349,0.5118669868,0.5296861529,0.4999963343,0.4976688921
350,0.5042089224,0.5034264922,0.4934298694,0.4986795187
351,0.5026386976,0.5070810318,0.5018715858,0.5000430346
352,0.5000956059,0.5061476827,0.4953323603,0.4991752505
353,0.5084095001,0.5109505057,0.5001773238,0.5014674067
354,0.5093502998,0.5135086775,0.5038582683,0.5019060969
355,0.5043543577,0.5066508651,0.5034769773,0.5015048981
356,0.5001163483,0.5078759193,0.5004814863,0.4995256066
357,0.5052894354,0.5117444992,0.504424572,0.4996518493
358,0.5028101802,0.5080066323,0.5001308918,0.5004200935
359,0.5015950799,0.5179403424,0.5026938319,0.4997543097
360,0.525447309,0.5328103304,0.521104455,0.5176678896
361,0.5317519307,0.5387216806,0.5343016386,0.5307003856
362,0.5485626459,0.5457216501,0.5550127625,0.5457808971
363,0.5173516273,0.5309068561,0.5155037642,0.5160634518
364,0.5215786695,0.532027781,0.5307586193,0.5234137774
365,0.5215922594,0.5321219563,0.525521934,0.5226025581
366,0.5175720453,0.5248408318,0.5232470632,0.5214194059
367,0.5012102127,0.5135172606,0.5083573461,0.5090524554
368,0.4709019363,0.487187326,0.4820405841,0.4739359915
369,0.4764186442,0.4887585342,0.4751226902,0.4748512805
370,0.4705260992,0.4770377576,0.4794993103,0.4724141955
371,0.4730016589,0.4814828336,0.4825260639,0.4748589694
372,0.4751272202,0.4779390693,0.4845838547,0.4757907987
373,0.4737231731,0.4856931567,0.4806465805,0.4763690531
374,0.4754168987,0.4785140753,0.4804793298,0.4780728519
375,0.4765403867,0.4927535355,0.4848386645,0.4766623974
376,0.471737355,0.4840050638,0.4742822051,0.4758207798
377,0.4708678424,0.4835571945,0.4740228057,0.4748198986
378,0.4723508954,0.4732909501,0.4818203449,0.4734421372
379,0.4712922275,0.477765888,0.4772021472,0.4726299047
380,0.4715718329,0.4965171814,0.477327168,0.4760020077
381,0.4796415865,0.4857631326,0.4884451926,0.4817137122
382,0.5170580745,0.5173514485,0.514300108,0.5152938366
383,0.491130054,0.4957246184,0.5014951825,0.4990485013
384,0.4989319742,0.4973756373,0.4941188693,0.4983375072
385,0.5031862259,0.5040256977,0.5035759211,0.5011453032
386,0.5061045289,0.5029389858,0.5047668219,0.5056127906
387,0.5062867999,0.5150776505,0.5085370541,0.5053002238
388,0.5047445893,0.5057237744,0.5119563341,0.5050919652
389,0.4973678589,0.5150763392,0.5044316053,0.5036454201
390,0.5047131777,0.5228351355,0.5040763617,0.5061400533
391,0.50362432,0.5113118291,0.5184743404,0.504907608
392,0.4897948802,0.4931694269,0.5017123222,0.4992693961
393,0.4927266836,0.5151281357,0.5004931688,0.4982990921
394,0.4940544367,0.5040820837,0.4978255332,0.5018668175
395,0.4996371865,0.497241348,0.5047253966,0.5022956133
396,0.4964783192,0.5147558451,0.5086869001,0.5022673011
397,0.493579179,0.4963552356,0.5036071539,0.5019456744
398,0.4990390539,0.4976645112,0.5092120171,0.502532661
399,0.5020337105,0.5020762682,0.507250309,0.5038020015
400,0.499244839,0.4899796844,0.5097068548,0.5053237081
401,0.4959096014,0.5029274821,0.5063906312,0.504028976
402,0.4959467947,0.496771127,0.5030130744,0.5033664107
403,0.4919699728,0.5051128268,0.5039415956,0.5055476427
404,0.4870102406,0.4914257526,0.5054135919,0.5024410486
405,0.4908883572,0.5072275996,0.5024338365,0.5026599169
406,0.4994948208,0.5079718828,0.5087777376,0.5076583624
407,0.499480933,0.5093049407,0.5135224462,0.5065333843
408,0.5015445948,0.5014256239,0.5092289448,0.5066193342
409,0.4994749725,0.503718853,0.5119163394,0.5082703829
410,0.5008347631,0.5023742914,0.5097613335,0.5055892467
411,0.5092658997,0.5071147084,0.5080840588,0.5071790218
412,0.5085157156,0.5004603267,0.5104175806,0.5073567033
413,0.5032936931,0.5007683039,0.5108591914,0.5086017847
414,0.5109333992,0.5026661158,0.4998358786,0.5079476237
415,0.486161828,0.4871155918,0.4876011014,0.4851109087
416,0.4595097899,0.4636725485,0.4584558606,0.4604747295
417,0.4492739737,0.455219537,0.4542166889,0.4550496042
418,0.4470684528,0.4537840486,0.4564862549,0.4554836154
419,0.4547305405,0.4590230584,0.4591067731,0.4587187171
420,0.450936377,0.4557853937,0.456533432,0.4530589581
421,0.4537071586,0.4627067149,0.4539523423,0.4532953501
422,0.4506465793,0.4681605399,0.4490697086,0.454754293
423,0.4488700628,0.4621614814,0.4600419402,0.4537813067
424,0.4519079626,0.4719766378,0.4598246515,0.4548457861
425,0.4570973814,0.4639927149,0.4553076923,0.4555324316
426,0.4577333033,0.4624646008,0.4582127631,0.4583038986
427,0.4581898749,0.4656987488,0.4627551436,0.4574205279
428,0.45235008,0.4568400681,0.449932158,0.4505516291
429,0.4517230988,0.4516377151,0.4507004023,0.4502866864
