window_index,ClassPrior,Centroid,DiagGaussian,LinearSoftmax
439,0.926678841,1.07039048,9.160746457,0.9238212367
440,0.7909553025,1.060445671,5.804772608,0.737012744
441,0.8916465541,1.070653662,8.979186264,0.8336467444
442,0.8741466499,1.07167295,8.638659169,0.8649842812
443,0.926678841,1.077384363,9.206473327,0.9351634259
444,0.9135535438,1.074677082,9.668297932,0.8933255319
445,0.7734421116,1.062089597,6.18916283,0.7443713557
446,0.8960344477,1.072447693,9.073744866,0.8956365359
447,0.9573527602,1.075986144,9.994961362,0.8875790622
448,0.8259861131,1.066858862,7.093966315,0.7503300248
449,0.6946475156,1.064992127,4.533425164,0.6637440343
450,0.9836136888,1.077381007,8.830236041,0.9031197624
451,0.7865895532,1.066361591,6.952248317,0.7579579343
452,0.9179266745,1.071406306,8.943847705,0.8217522242
453,0.9879868195,1.081650961,9.612013411,0.9227669523
454,0.9660813061,1.07840239,9.615178712,0.9361621156
455,0.9223116155,1.071312893,8.988343922,0.8670650155
456,0.970470676,1.077734327,9.473969046,0.9365562477
457,0.9704795338,1.076712925,9.051718865,0.9736640407
458,0.8478827687,1.070830822,7.467179722,0.8172501652
459,0.9310652584,1.074638502,9.674038633,0.8693170381
460,0.9135653541,1.070908195,9.66384801,0.8812552251
461,1.114953763,1.086648974,13.01882163,1.110704445
462,0.9310608295,1.074591481,9.877143066,0.9138639254
463,0.8741451736,1.06932843,8.096266025,0.8016743777
464,0.9879868195,1.079679453,10.83731236,0.9898973466
465,0.9266876988,1.073215351,9.187254877,0.8601827459
466,1.05803663,1.081677538,11.00187904,1.009774933
467,0.8216011721,1.06401662,6.856256624,0.750138411
468,0.7515513611,1.05834001,5.434793952,0.7043830544
469,0.9967316045,1.077829299,10.52248968,0.9422777713
470,0.8259875894,1.073259575,7.287307632,0.7980920855
471,0.9091656501,1.076435921,9.437093665,0.8721949084
472,0.799722232,1.065430758,6.26527716,0.7332395551
473,0.7778226237,1.067771386,5.926376442,0.7359545481
474,0.8566467456,1.070521498,8.186192467,0.7958084703
475,0.8872926152,1.074704182,8.647052648,0.8757294846
476,1.001107688,1.081594628,10.47255199,0.986019961
477,0.7690660283,1.064502421,5.72791662,0.7317194826
478,0.9048072824,1.074583113,8.808422209,0.8519890185
479,0.9660990216,1.075644482,10.80751036,0.9358333834
480,0.8697705666,1.068453231,8.540409021,0.8130682063
481,0.8916746037,1.071012029,8.689747425,0.8564246998
482,0.8391202681,1.070059138,8.160969637,0.7921901364
483,1.027392237,1.081935813,12.23984906,1.08073697
484,0.7033775377,1.061991273,4.64055856,0.6786225224
485,0.6639927882,1.061277549,3.668514853,0.6255498355
486,0.7384231113,1.065748194,5.409344582,0.7168368176
487,0.8259949709,1.069419084,6.996649322,0.7731320734
488,0.7471664201,1.068261797,5.254053378,0.7104697902
489,0.7077757654,1.065502033,4.815022383,0.7079092068
490,0.628969359,1.061306229,2.960566181,0.6283854681
491,0.8391187918,1.068071174,7.695850783,0.7905557447
492,0.7515616952,1.062337848,5.634036782,0.7223510939
493,0.8741555076,1.116737817,5.828202172,0.8489315168
494,0.8435037329,1.116974534,6.457529035,0.8387109046
495,1.036144404,1.121069596,8.046914605,1.038046801
496,0.896061021,1.109990773,8.624248693,0.8947917742
497,0.830365149,1.111081218,6.431476373,0.7867492625
498,0.655242098,1.112044381,3.49114328,0.5624370563
499,0.7384423031,1.114107619,4.511941794,0.6597982021
500,0.8566393642,1.113035065,7.284586065,0.8354377012
501,0.6289649302,1.103617711,3.241202247,0.5158579984
502,0.9835871155,1.123337221,12.75512682,0.9132185248
503,0.9135638778,1.112678685,7.36752142,0.8907024558
504,0.7384393505,1.104920868,5.157558952,0.6346387642
505,0.7646914213,1.102830591,5.902628199,0.6640254106
506,0.7909597313,1.104324053,6.020763319,0.710082358
507,0.9310844502,1.10185854,8.915029667,0.8818713587
508,0.8741407447,1.098425328,7.668869776,0.8118900532
509,0.8872911389,1.105163743,7.898108398,0.8491920915
510,0.9135505912,1.106114784,9.567140517,0.8914983606
511,1.018640071,1.104654857,9.562127828,1.027999525
512,0.8128475292,1.111752037,7.485808705,0.7875531866
513,0.7034026347,1.097793082,4.765275232,0.594781886
