window_index,DLinear,PatchTST,TiDE,TimeXer
335,0.03900887445,0.01760936715,0.0173894912,0.01600087248
336,0.03958083689,0.01884015836,0.01777346432,0.01573446579
337,0.03988369554,0.01852423698,0.01787734032,0.01561817061
338,0.04025913775,0.0205715578,0.01802900992,0.01602907665
339,0.04047714546,0.02121763118,0.01811761037,0.01721777581
340,0.04033308849,0.02074167691,0.01812619716,0.01779477485
341,0.04022119567,0.02183282934,0.01818836108,0.01668654196
342,0.04056178406,0.01969710737,0.0189049989,0.01560488809
343,0.04020448029,0.01813344844,0.01874562539,0.01573146135
344,0.03941220418,0.01953106187,0.01851839013,0.01661984809
345,0.04174635187,0.02343199961,0.02029077709,0.01686628163
346,0.0400701873,0.02466534637,0.01934881508,0.01774111949
347,0.04045975581,0.02473848127,0.01926379092,0.01706469618
348,0.03908597305,0.02272891067,0.01887213998,0.01787081547
349,0.03592149168,0.02061529644,0.01797267608,0.02071680687
350,0.03393182531,0.01847226918,0.01813831739,0.0209625233
351,0.03515424207,0.01698420011,0.01794697158,0.01820521988
352,0.03398840874,0.01804616489,0.01806333289,0.01790124923
353,0.0360690169,0.01787225343,0.0179115776,0.01613421738
354,0.03508734331,0.01896831766,0.01788013242,0.01538792253
355,0.03595425561,0.01915795542,0.01762417518,0.01554261055
356,0.03617234528,0.01873053424,0.01777288131,0.01575432718
357,0.0371231325,0.01902501844,0.0175837297,0.01594974287
358,0.03925308958,0.01840977184,0.0177888684,0.01540932432
359,0.04078680649,0.01910563186,0.01814740151,0.01555833127
360,0.04139494523,0.02192231454,0.01849503815,0.01587045006
361,0.04154562205,0.02396499552,0.0183896143,0.01578109153
362,0.04292970523,0.02867249399,0.0189298559,0.01573600061
363,0.04196413234,0.02778782696,0.01835569367,0.0154405348
364,0.04377900064,0.02795232274,0.01905054972,0.01574095897
365,0.04568800703,0.02902547084,0.01994084381,0.01592403278
366,0.04586748779,0.02377082966,0.01963862777,0.01551475096
367,0.04706387222,0.02342168428,0.01989593357,0.01619280875
368,0.04883445799,0.02649127878,0.02059632726,0.01640196145
369,0.05173766986,0.02984642051,0.02209151722,0.01933413371
370,0.05034978315,0.02882485092,0.02066375129,0.0209539216
371,0.05020686984,0.02627059817,0.01985254139,0.01859547384
372,0.0501321964,0.02597855963,0.01953111775,0.01864928566
373,0.05314157531,0.03268968686,0.02152304165,0.01790781505
374,0.05558850244,0.02995811589,0.02245586179,0.01799901016
375,0.05489515141,0.02842553519,0.02182415873,0.01813374646
376,0.05605939031,0.02972902358,0.02204492129,0.01972020604
377,0.05741758272,0.02908366919,0.02272219956,0.02336310036
378,0.05848812684,0.03211184219,0.02335263789,0.02460441925
379,0.05761000887,0.03393800184,0.02312656306,0.02338737063
380,0.05735347047,0.03177342191,0.02284102328,0.02564392425
381,0.05710308626,0.0311076045,0.02264547907,0.02496152185
382,0.05657597259,0.03105719388,0.02278595604,0.02272470482
383,0.05557547882,0.02773611248,0.02232537605,0.02231820859
384,0.0539046824,0.02459610067,0.021873869,0.02082548477
385,0.05328573659,0.02488026023,0.02162599005,0.0207160376
386,0.05133128166,0.02507020347,0.0212160591,0.02070628665
387,0.05034775659,0.02513366751,0.02089922689,0.02069895528
388,0.04932422936,0.02414077707,0.0207408946,0.0208959356
389,0.04841379449,0.02319270372,0.02104018629,0.02199961431
390,0.04781648517,0.02277169377,0.02091992833,0.0252999533
391,0.04588292167,0.02266745083,0.02100354433,0.03113235347
392,0.04505467787,0.02316563576,0.02086809464,0.03222905099
393,0.04529545829,0.02427771129,0.02192273736,0.03343106806
394,0.04572084174,0.02446680516,0.0213944912,0.03382230923
395,0.04708968475,0.0241355896,0.02130668797,0.02879029699
396,0.04806847498,0.02361377515,0.02161273547,0.02422958612
397,0.04994410649,0.02421255223,0.02268776856,0.02509723604
398,0.05419329181,0.02646270208,0.02395482175,0.02207064815
399,0.05628622696,0.02799540758,0.02525740303,0.02331235819
400,0.05649785325,0.02742013335,0.02516531385,0.0240098089
401,0.05930732563,0.02960725687,0.02629302628,0.02309952863
402,0.06303896755,0.03319731355,0.02943474986,0.02258886956
403,0.06437209994,0.0338951312,0.03010603227,0.02274424769
404,0.06441003084,0.03241601959,0.03002224304,0.0229345113
405,0.06598674506,0.03208464384,0.03059418313,0.02419103868
406,0.06665781885,0.03286462277,0.03052226268,0.0231943503
407,0.07078304887,0.03409660608,0.03360395506,0.02555746771
408,0.07624090463,0.03489125893,0.03730377555,0.02963852882
409,0.08447465301,0.04051585495,0.04336155951,0.0340702422
410,0.09351956844,0.05056182668,0.04989270866,0.03960704431
411,0.0979232192,0.05340018868,0.05275740102,0.0414900817
