window_index,DLinear,PatchTST,iTransformer,TimeMixer
237,0.4166666567,0.5416666865,0.5833333135,0.5416666865
238,0.4583333433,0.5416666865,0.6666666865,0.5
239,0.5833333135,0.5833333135,0.5833333135,0.4166666567
240,0.375,0.4166666567,0.4583333433,0.625
241,0.4583333433,0.4166666567,0.5,0.4583333433
242,0.5833333135,0.4583333433,0.5416666865,0.3333333433
243,0.5416666865,0.5833333135,0.4583333433,0.4166666567
244,0.5833333135,0.5,0.4583333433,0.5416666865
245,0.5,0.5,0.375,0.4583333433
246,0.5,0.375,0.4583333433,0.375
247,0.5416666865,0.375,0.5416666865,0.4166666567
248,0.375,0.375,0.5416666865,0.5
249,0.4166666567,0.4166666567,0.5833333135,0.4583333433
250,0.5,0.3333333433,0.375,0.5
251,0.2916666567,0.4583333433,0.4166666567,0.5416666865
252,0.3333333433,0.4583333433,0.375,0.4583333433
253,0.4166666567,0.5,0.4583333433,0.4166666567
254,0.5,0.5416666865,0.5416666865,0.5833333135
255,0.5,0.5,0.4166666567,0.5
256,0.5,0.5833333135,0.375,0.4583333433
257,0.5416666865,0.5416666865,0.5416666865,0.5
258,0.5,0.5416666865,0.4583333433,0.625
259,0.4166666567,0.5833333135,0.5833333135,0.4583333433
260,0.5416666865,0.5833333135,0.625,0.5
261,0.4583333433,0.625,0.5833333135,0.7083333135
262,0.2916666567,0.625,0.5416666865,0.5416666865
263,0.2083333284,0.5833333135,0.3333333433,0.5416666865
264,0.4166666567,0.5833333135,0.3333333433,0.5833333135
265,0.3333333433,0.5416666865,0.625,0.625
266,0.3333333433,0.5,0.5416666865,0.5
267,0.375,0.5,0.5,0.4583333433
268,0.5,0.5,0.25,0.4166666567
269,0.4583333433,0.5,0.5833333135,0.4166666567
270,0.4583333433,0.4583333433,0.4583333433,0.4166666567
271,0.5,0.5,0.5833333135,0.4166666567
272,0.375,0.5416666865,0.5,0.5833333135
273,0.5,0.5416666865,0.4166666567,0.5416666865
274,0.4166666567,0.5,0.4166666567,0.4583333433
275,0.4583333433,0.5416666865,0.6666666865,0.5416666865
276,0.4166666567,0.5,0.375,0.5833333135
277,0.5,0.5416666865,0.5416666865,0.4166666567
278,0.5,0.5416666865,0.5416666865,0.625
279,0.5,0.5,0.4583333433,0.5416666865
280,0.5,0.4583333433,0.5,0.5
281,0.5,0.5,0.5416666865,0.4583333433
282,0.625,0.4583333433,0.5416666865,0.5
283,0.5833333135,0.4166666567,0.625,0.5416666865
284,0.5833333135,0.375,0.625,0.4583333433
285,0.5833333135,0.4166666567,0.5833333135,0.3333333433
286,0.7083333135,0.4166666567,0.625,0.5416666865
287,0.5833333135,0.4166666567,0.5,0.4583333433
288,0.5416666865,0.375,0.5,0.3333333433
289,0.5,0.4166666567,0.7083333135,0.4583333433
290,0.5833333135,0.4583333433,0.2916666567,0.4166666567
291,0.6666666865,0.5833333135,0.7083333135,0.625
292,0.75,0.5416666865,0.5833333135,0.5
293,0.5833333135,0.4583333433,0.6666666865,0.3333333433
294,0.5833333135,0.5,0.5833333135,0.5416666865
295,0.6666666865,0.375,0.4583333433,0.5
296,0.625,0.5,0.5833333135,0.5833333135
297,0.625,0.4583333433,0.5,0.375
298,0.5,0.4583333433,0.625,0.4166666567
299,0.6666666865,0.4583333433,0.5833333135,0.5
300,0.7916666865,0.5,0.5,0.5
301,0.7083333135,0.4583333433,0.5833333135,0.4583333433
302,0.6666666865,0.375,0.625,0.4583333433
303,0.75,0.5,0.4583333433,0.2916666567
304,0.4583333433,0.625,0.5833333135,0.5416666865
305,0.625,0.5833333135,0.4166666567,0.375
306,0.4166666567,0.5833333135,0.5416666865,0.5833333135
307,0.625,0.5833333135,0.625,0.5416666865
308,0.5833333135,0.6666666865,0.2083333284,0.25
309,0.625,0.5,0.6666666865,0.5416666865
310,0.5833333135,0.75,0.625,0.625
311,0.75,0.5416666865,0.4583333433,0.25
312,0.5833333135,0.5833333135,0.4166666567,0.5
313,0.5833333135,0.4166666567,0.5,0.4583333433
314,0.625,0.5416666865,0.4583333433,0.5416666865
315,0.7083333135,0.2916666567,0.4583333433,0.5
316,0.625,0.375,0.5833333135,0.5416666865
317,0.5416666865,0.3333333433,0.5833333135,0.5
318,0.5833333135,0.2916666567,0.375,0.3333333433
319,0.5833333135,0.2916666567,0.5416666865,0.4583333433
320,0.4166666567,0.2916666567,0.5,0.5416666865
321,0.5416666865,0.2916666567,0.3333333433,0.5416666865
322,0.4166666567,0.2916666567,0.5416666865,0.5
323,0.4583333433,0.25,0.5,0.4583333433
324,0.5,0.25,0.3333333433,0.2916666567
325,0.4583333433,0.2916666567,0.3333333433,0.1666666716
326,0.4166666567,0.3333333433,0.375,0.5
327,0.4583333433,0.375,0.5833333135,0.5833333135
328,0.4166666567,0.375,0.4166666567,0.4166666567
329,0.4583333433,0.4166666567,0.3333333433,0.4166666567
330,0.375,0.5,0.4583333433,0.625
331,0.5,0.4583333433,0.375,0.5416666865
332,0.25,0.4166666567,0.4166666567,0.5
333,0.4166666567,0.375,0.25,0.3333333433
334,0.3333333433,0.4166666567,0.5833333135,0.5833333135
335,0.375,0.4166666567,0.4166666567,0.4166666567
336,0.25,0.4583333433,0.5416666865,0.6666666865
337,0.3333333433,0.5,0.5833333135,0.5
338,0.125,0.4583333433,0.375,0.375
339,0.1666666716,0.5,0.4583333433,0.5833333135
340,0.25,0.625,0.4583333433,0.5416666865
341,0.4166666567,0.5,0.4583333433,0.625
342,0.2916666567,0.5,0.5,0.5
343,0.4583333433,0.5833333135,0.2916666567,0.625
344,0.3333333433,0.5,0.4583333433,0.375
345,0.5,0.5416666865,0.5416666865,0.5
346,0.625,0.5833333135,0.2916666567,0.625
347,0.4583333433,0.625,0.5416666865,0.4583333433
348,0.4166666567,0.5,0.5416666865,0.5833333135
349,0.375,0.5416666865,0.2916666567,0.5
350,0.4583333433,0.5416666865,0.5,0.4166666567
351,0.4583333433,0.5416666865,0.5,0.5
352,0.4166666567,0.5833333135,0.4583333433,0.4583333433
353,0.4166666567,0.5416666865,0.5416666865,0.4583333433
354,0.3333333433,0.5416666865,0.4583333433,0.6666666865
355,0.4583333433,0.5416666865,0.375,0.5
356,0.375,0.5,0.5416666865,0.375
357,0.4583333433,0.5416666865,0.4166666567,0.5833333135
358,0.4583333433,0.5416666865,0.375,0.375
359,0.4166666567,0.5416666865,0.625,0.5833333135
360,0.4583333433,0.5416666865,0.5,0.5416666865
361,0.5416666865,0.5,0.4166666567,0.4583333433
362,0.4583333433,0.5416666865,0.5833333135,0.5833333135
363,0.5416666865,0.5,0.5,0.625
364,0.6666666865,0.4583333433,0.5,0.5833333135
365,0.5,0.5,0.375,0.5
366,0.5,0.5,0.4583333433,0.5416666865
367,0.4166666567,0.5,0.375,0.4583333433
368,0.5,0.5,0.4583333433,0.5416666865
369,0.375,0.5,0.4166666567,0.5416666865
370,0.2916666567,0.5,0.5416666865,0.2916666567
371,0.2916666567,0.5416666865,0.5,0.5833333135
372,0.4583333433,0.5833333135,0.4583333433,0.5
373,0.375,0.5833333135,0.4583333433,0.5
374,0.2916666567,0.5833333135,0.5416666865,0.6666666865
375,0.5,0.5416666865,0.5416666865,0.4166666567
376,0.5,0.5,0.4166666567,0.5
377,0.5416666865,0.5416666865,0.5833333135,0.4583333433
378,0.375,0.5416666865,0.6666666865,0.5833333135
379,0.4583333433,0.5833333135,0.4583333433,0.5
380,0.375,0.625,0.5833333135,0.5833333135
381,0.4583333433,0.5833333135,0.6666666865,0.6666666865
382,0.4166666567,0.5416666865,0.5416666865,0.4166666567
383,0.3333333433,0.5416666865,0.375,0.4583333433
384,0.4166666567,0.5416666865,0.5416666865,0.3333333433
385,0.375,0.5416666865,0.5,0.4166666567
