window_index,DLinear,PatchTST,iTransformer,TimesNet
324,0.4583333433,0.375,0.3958333433,0.3958333433
325,0.5,0.4166666567,0.4166666567,0.4166666567
326,0.4583333433,0.4791666567,0.5,0.4166666567
327,0.5208333135,0.4583333433,0.4583333433,0.4375
328,0.4166666567,0.4791666567,0.4375,0.4583333433
329,0.4166666567,0.4583333433,0.4166666567,0.5208333135
330,0.4791666567,0.4375,0.5833333135,0.4583333433
331,0.4166666567,0.4375,0.5,0.5208333135
332,0.3958333433,0.3958333433,0.4375,0.4375
333,0.4791666567,0.4375,0.4583333433,0.4375
334,0.4583333433,0.3541666567,0.5,0.5
335,0.3958333433,0.4791666567,0.4375,0.4791666567
336,0.4583333433,0.3958333433,0.4166666567,0.4791666567
337,0.4583333433,0.3541666567,0.4166666567,0.5
338,0.4583333433,0.5,0.5625,0.5625
339,0.375,0.5208333135,0.4583333433,0.4583333433
340,0.3958333433,0.3958333433,0.5,0.5
341,0.4166666567,0.5,0.3958333433,0.5
342,0.5208333135,0.6041666865,0.4375,0.5
343,0.3541666567,0.5208333135,0.4583333433,0.5416666865
344,0.4375,0.375,0.5,0.5
345,0.2916666567,0.5416666865,0.4583333433,0.5208333135
346,0.3958333433,0.5416666865,0.6041666865,0.5416666865
347,0.3958333433,0.4791666567,0.5625,0.5208333135
348,0.3333333433,0.4375,0.4166666567,0.4583333433
349,0.4375,0.4166666567,0.5416666865,0.5625
350,0.375,0.4583333433,0.5416666865,0.5625
351,0.3958333433,0.4375,0.4791666567,0.5416666865
352,0.3541666567,0.4375,0.4791666567,0.5625
353,0.375,0.5208333135,0.4583333433,0.5208333135
354,0.4583333433,0.4166666567,0.5416666865,0.5416666865
355,0.4166666567,0.4583333433,0.5625,0.5625
356,0.3333333433,0.4166666567,0.5,0.5625
357,0.3958333433,0.5625,0.3958333433,0.5625
358,0.3958333433,0.4583333433,0.4375,0.5
359,0.4375,0.6041666865,0.5833333135,0.5208333135
360,0.375,0.5208333135,0.5208333135,0.5416666865
361,0.375,0.4375,0.5,0.5416666865
362,0.5,0.3958333433,0.5208333135,0.5
363,0.5208333135,0.4375,0.5416666865,0.5208333135
364,0.5,0.4375,0.5208333135,0.5208333135
365,0.4375,0.5208333135,0.5416666865,0.5208333135
366,0.4583333433,0.4583333433,0.4791666567,0.5208333135
367,0.4375,0.3541666567,0.5,0.5
368,0.4375,0.5625,0.5208333135,0.5208333135
369,0.4583333433,0.4583333433,0.5208333135,0.5208333135
370,0.3958333433,0.4791666567,0.5416666865,0.5208333135
371,0.4166666567,0.5208333135,0.4375,0.5416666865
372,0.4166666567,0.5,0.5625,0.5416666865
373,0.3333333433,0.5625,0.5208333135,0.5208333135
374,0.5208333135,0.3541666567,0.5,0.5208333135
375,0.4375,0.3958333433,0.5625,0.5208333135
376,0.3958333433,0.4166666567,0.5416666865,0.5
377,0.4583333433,0.4166666567,0.5,0.5
378,0.4791666567,0.3958333433,0.4791666567,0.5
379,0.4583333433,0.4375,0.5625,0.5
380,0.4375,0.5208333135,0.5208333135,0.5
381,0.4166666567,0.3958333433,0.5,0.5
382,0.4583333433,0.4583333433,0.5,0.4791666567
383,0.5208333135,0.625,0.4791666567,0.4791666567
384,0.5208333135,0.5416666865,0.4375,0.4791666567
385,0.5,0.4166666567,0.5416666865,0.5
386,0.3333333433,0.5,0.5208333135,0.4791666567
387,0.375,0.5625,0.5,0.4791666567
388,0.4583333433,0.3958333433,0.4791666567,0.4791666567
389,0.5208333135,0.5,0.4791666567,0.4791666567
390,0.5,0.3541666567,0.4791666567,0.4791666567
391,0.4375,0.4375,0.4583333433,0.4583333433
392,0.5,0.4791666567,0.4375,0.4791666567
393,0.3958333433,0.5208333135,0.4375,0.4791666567
394,0.5416666865,0.4791666567,0.4583333433,0.4583333433
395,0.5,0.5833333135,0.4583333433,0.4375
396,0.6041666865,0.5208333135,0.3958333433,0.4166666567
397,0.4583333433,0.5,0.375,0.3958333433
398,0.5208333135,0.4166666567,0.4375,0.3958333433
399,0.6041666865,0.5,0.3958333433,0.3958333433
400,0.5208333135,0.5,0.4166666567,0.4166666567
401,0.4791666567,0.5208333135,0.3958333433,0.3958333433
402,0.5208333135,0.5625,0.4166666567,0.4166666567
403,0.4791666567,0.625,0.4166666567,0.4166666567
404,0.5416666865,0.5,0.3958333433,0.3958333433
405,0.5,0.5208333135,0.3958333433,0.4166666567
406,0.5,0.5208333135,0.4166666567,0.4166666567
407,0.5416666865,0.4791666567,0.4375,0.4375
408,0.5416666865,0.5625,0.4375,0.4375
409,0.4583333433,0.5416666865,0.4375,0.4375
410,0.5833333135,0.4375,0.375,0.4375
411,0.4583333433,0.6041666865,0.4583333433,0.4375
412,0.5208333135,0.4583333433,0.4375,0.4375
413,0.5416666865,0.5416666865,0.4166666567,0.4583333433
414,0.5416666865,0.5,0.4375,0.4791666567
415,0.6875,0.4583333433,0.5,0.4166666567
416,0.6041666865,0.4375,0.4791666567,0.4583333433
417,0.625,0.4791666567,0.4583333433,0.4583333433
418,0.5833333135,0.5208333135,0.4791666567,0.4583333433
419,0.5625,0.5,0.4166666567,0.4375
420,0.5625,0.4791666567,0.3958333433,0.4375
421,0.5416666865,0.3958333433,0.4375,0.4375
422,0.5416666865,0.4791666567,0.3958333433,0.4375
423,0.5,0.5625,0.4166666567,0.4375
424,0.4375,0.4791666567,0.4166666567,0.4375
425,0.5,0.5208333135,0.5416666865,0.4583333433
426,0.5416666865,0.4166666567,0.4375,0.4791666567
427,0.5,0.5625,0.4791666567,0.5
428,0.5208333135,0.5833333135,0.5,0.4791666567
429,0.5625,0.5,0.5208333135,0.4583333433
430,0.4791666567,0.5416666865,0.5,0.5
431,0.5625,0.5416666865,0.5,0.5
432,0.5208333135,0.5,0.5208333135,0.5
433,0.4791666567,0.4583333433,0.5,0.5
434,0.5,0.5208333135,0.5208333135,0.5208333135
435,0.4375,0.5833333135,0.5625,0.5208333135
436,0.5,0.5208333135,0.5208333135,0.5208333135
437,0.4791666567,0.5625,0.4791666567,0.5208333135
438,0.5208333135,0.5,0.4791666567,0.5208333135
439,0.625,0.5,0.5833333135,0.5208333135
440,0.5416666865,0.375,0.4375,0.5
441,0.5208333135,0.5416666865,0.5208333135,0.5
442,0.3958333433,0.5416666865,0.5416666865,0.5208333135
443,0.5416666865,0.3958333433,0.4791666567,0.5208333135
444,0.5208333135,0.5625,0.5625,0.5208333135
445,0.4791666567,0.5416666865,0.5,0.4583333433
446,0.4375,0.5,0.5625,0.5416666865
447,0.6041666865,0.4375,0.4583333433,0.5208333135
448,0.5416666865,0.4375,0.5208333135,0.5
449,0.4791666567,0.4166666567,0.5625,0.4375
450,0.4791666567,0.5,0.4166666567,0.4791666567
451,0.4791666567,0.4375,0.5208333135,0.5
452,0.5,0.5208333135,0.5208333135,0.5
453,0.4583333433,0.3333333433,0.4791666567,0.5
454,0.5208333135,0.4375,0.4791666567,0.5
455,0.4166666567,0.5,0.375,0.5208333135
456,0.4166666567,0.5416666865,0.4791666567,0.5416666865
457,0.4791666567,0.5833333135,0.4375,0.4791666567
458,0.4166666567,0.4375,0.4791666567,0.4166666567
