window_index,RidgeCov,TargetRidge,Trend,Seasonal,EWM,ZeroPred,Persistence,HAR_EWM
124,1.836876988,0.2498738319,0.2379922867,0.2958186567,0.3656204045,0.4906415939,0.2428960055,0.377915293
125,1.842806458,0.2436286211,0.266920656,0.2927752733,0.3547508717,0.4912020266,0.2598349154,0.3662089407
126,1.830349088,0.2480490357,0.3041703403,0.2907655239,0.3439385891,0.4917911291,0.2747226655,0.3545782268
127,1.839076638,0.2618320286,0.3409693241,0.2891319692,0.3335926533,0.4923959076,0.2832207978,0.343449086
128,1.798464298,0.2811069191,0.3852179348,0.2878876626,0.3274015486,0.4930163622,0.2924221158,0.3328289986
129,1.782044411,0.3074845374,0.3707180321,0.2865833938,0.3261888325,0.4935911596,0.2670606077,0.3239878714
130,1.848388314,0.3322167695,0.296174854,0.2829451859,0.3306550086,0.4929653108,0.2311790735,0.3175853193
131,1.910692573,0.3481122553,0.252487272,0.2751393914,0.3347180784,0.491659075,0.241585359,0.3140845597
132,1.942103386,0.3559098244,0.2516625226,0.2663609385,0.3399857581,0.4912118912,0.2985843718,0.3149694204
133,1.911324859,0.3591873646,0.3085883856,0.2522599697,0.3541077673,0.4924456775,0.4164486825,0.3204784393
134,1.950806975,0.3642276824,0.4555146396,0.2365632504,0.3709059656,0.4958474636,0.6141502261,0.3313038647
135,1.928100586,0.3735893071,0.6296642423,0.2193467021,0.3822939098,0.5005611777,0.7948082089,0.345500499
136,1.900659204,0.3905499876,0.7725421786,0.2051405162,0.3916971684,0.5054145455,0.9136832356,0.3608620167
137,1.878881097,0.4011912346,0.707066834,0.1943618506,0.3976117074,0.5093151331,0.799230516,0.3737418652
138,1.835321903,0.403308779,0.5150282979,0.1845576763,0.3986140788,0.511951685,0.5627928376,0.3819081783
139,1.801077485,0.4028989971,0.4023620188,0.1773961037,0.394629389,0.5125438571,0.4265047014,0.3848392069
140,1.794269204,0.3934129775,0.331163168,0.1725357175,0.3877587318,0.511926949,0.3370975554,0.3837076724
141,1.707733274,0.3764390051,0.3116379976,0.1687622517,0.380117774,0.5105956197,0.3010626733,0.3798762858
142,1.695478082,0.3528153896,0.323084265,0.1650444269,0.3723455966,0.5087755322,0.2914178371,0.374155432
143,1.617265821,0.3230912387,0.363049835,0.1619037539,0.36510849,0.5064314604,0.3002811372,0.3667838871
144,1.587551117,0.2923581898,0.4211320877,0.1589699537,0.3573906422,0.5035262704,0.321000278,0.3583188951
145,1.542893052,0.2673834264,0.4706527293,0.1572131664,0.3496223986,0.5007161498,0.3361142576,0.3498966694
146,1.454635501,0.2372162789,0.5637564063,0.1558973938,0.3397994936,0.4971367419,0.374944061,0.3405753076
147,1.427353263,0.2105885744,0.6819189191,0.1555413753,0.3293496668,0.4926973879,0.4259780347,0.3305141032
148,1.392233849,0.1901404262,0.8261820674,0.15526025,0.3191112578,0.4877482355,0.4890358448,0.3201208115
149,1.368969798,0.1809583902,0.9664589763,0.1555293649,0.3085724413,0.4821713865,0.5446040034,0.3097984493
150,1.344951987,0.1814215034,1.126957059,0.1563199908,0.2986849248,0.4759287834,0.6072748899,0.2996914685
151,1.348137021,0.1940037757,1.26950717,0.1571932137,0.2895616293,0.4694007337,0.65337497,0.2903566957
152,1.311465859,0.2162763625,1.424843192,0.1585908234,0.2817847431,0.462028116,0.7029382586,0.2815862596
153,1.340870023,0.242752254,1.382377148,0.1597338766,0.2762510777,0.4551274776,0.6333580613,0.2748503387
154,1.388359666,0.2563566267,0.9269687533,0.160498172,0.2749733925,0.4510342777,0.3730708063,0.2722642124
155,1.500665545,0.2638687491,0.5982336998,0.1619297266,0.2766981423,0.4488845766,0.2729397118,0.2729160786
156,1.424326539,0.2693389952,0.4169701636,0.1633911133,0.2830198109,0.4491330087,0.3420685828,0.2766770124
157,1.426619887,0.2690882683,0.4032742083,0.1650024056,0.2901381552,0.4507304728,0.4611994326,0.2822084129
158,1.501757622,0.2779598236,0.4888595641,0.1661753654,0.2970232368,0.4524996281,0.6831030846,0.2876878977
159,1.480373979,0.2890592515,0.581207335,0.1666401327,0.3021505177,0.4527640343,0.8120336533,0.290969193
160,1.543719888,0.306573838,0.6466968656,0.1674381495,0.3036312759,0.4516794682,0.8689838052,0.2921070457
161,1.501918674,0.3071400821,0.5119091868,0.1674532145,0.3035957515,0.4513304234,0.6367926598,0.2936937213
162,1.453794122,0.3091826141,0.4012545645,0.1674979925,0.3016920984,0.4514805973,0.4461008608,0.2951971591
163,1.415922999,0.3030022085,0.3487585485,0.1678464562,0.298607558,0.4508066475,0.2899379432,0.2951488197
164,1.363141656,0.2960763276,0.4099844992,0.1695855409,0.2943358421,0.4486070573,0.2872296274,0.2933074236
165,1.344291687,0.2816274166,0.5228498578,0.1726361662,0.2894414961,0.4447582066,0.3388756216,0.2898022234
166,1.321334004,0.2607794106,0.6554445028,0.1768484265,0.2843214273,0.4394304454,0.4099666774,0.2851889431
167,1.297261834,0.2364896983,0.7779477239,0.1815173626,0.2792596817,0.4333230555,0.4733915329,0.2801760733
168,1.284207821,0.2115795463,0.8955192566,0.1866742373,0.2744748294,0.4266308844,0.5297560692,0.2752244473
169,1.247034431,0.1901768446,0.96758461,0.1919500828,0.2705668211,0.4200942814,0.5514630675,0.2709876001
170,1.226873517,0.1738167256,1.014024615,0.1956752092,0.2679057419,0.4143466651,0.5529623032,0.267773807
171,1.214869499,0.1619599611,1.061151624,0.1977211237,0.266630739,0.4100090265,0.553696692,0.2657623291
172,1.203133821,0.1546268016,1.11169672,0.1985154152,0.2663703263,0.4062006176,0.554236412,0.2645645142
173,1.199081421,0.1521685421,1.165214896,0.1982612461,0.2671159208,0.403541714,0.5544763207,0.2643859386
174,1.200228333,0.1546867341,1.220527291,0.1970473677,0.2687388659,0.4021522999,0.554536283,0.2652390003
175,1.208348393,0.1621620655,1.276303411,0.1953161955,0.2716241181,0.4021522999,0.554536283,0.2671424448
176,1.223318934,0.1741150022,1.334249496,0.1929891109,0.2743358314,0.4032726288,0.5545699596,0.2699160278
177,1.242472768,0.1885916442,1.390917659,0.1912388802,0.2737291753,0.4029144347,0.5545737147,0.2722086608
178,1.260372043,0.2045245618,1.434424281,0.1951510161,0.2705239952,0.3991066217,0.555113256,0.2734405696
179,1.277484059,0.2224903852,1.457855344,0.2100809366,0.2676421702,0.3925696611,0.557271719,0.2746641934
180,1.284995675,0.2428015918,1.46849823,0.2433575541,0.2687526643,0.3840731084,0.5632674098,0.2776016891
181,1.284796476,0.2639692426,1.478136182,0.2905516922,0.2689702809,0.3753162324,0.5719015002,0.2824760973
182,1.281492472,0.2866266966,1.477224231,0.3526099026,0.2730482817,0.3669843674,0.5849452019,0.2906791866
183,1.271452188,0.3092728555,1.468703628,0.4220326841,0.2821896374,0.359395504,0.6012687087,0.3017682731
184,1.259022355,0.3279966116,1.455466866,0.4855875075,0.2952921689,0.351556927,0.6166178584,0.3128131032
185,1.24955833,0.3395219743,1.44424212,0.5386536717,0.3063085377,0.3429656923,0.627953589,0.3216750324
186,1.239314914,0.3442635238,1.431720853,0.5790057778,0.3191510439,0.334278971,0.6352085471,0.3284120262
187,1.231508374,0.34313187,1.426539779,0.6058701873,0.3297203481,0.3264037073,0.6392893791,0.3337743282
188,1.225940704,0.338347882,1.425481677,0.6231834888,0.3388218582,0.3202466071,0.6411030889,0.3385207951
189,1.22350502,0.3318276703,1.427520394,0.6333646774,0.3483462334,0.316169858,0.6417364478,0.3433535099
190,1.22386992,0.3247486651,1.43446219,0.6388251185,0.3559902906,0.3138174415,0.6419200301,0.3485353887
191,1.229513288,0.3178014457,1.442967534,0.6413472295,0.3640391827,0.3127645254,0.6419537067,0.3540611565
