window_index,DLinear,PatchTST,iTransformer,TimeMixer
75,0.4944632947,0.4867686927,0.4945343435,0.4810473025
76,0.4306516647,0.4310711324,0.4451726377,0.4643837512
77,0.4493230879,0.4385336339,0.443911761,0.4715854228
78,0.4881717265,0.4566378891,0.4598932266,0.4749983847
79,0.4681563377,0.4362536967,0.437220484,0.4523926675
80,0.4153369665,0.3835890293,0.3721591532,0.3986900747
81,0.4238491058,0.4037519991,0.3928951323,0.4241223335
82,0.4252541065,0.4037104547,0.4081052244,0.4178864062
83,0.4235740602,0.3887073696,0.3886808157,0.4010409117
84,0.423825264,0.3871586323,0.4106138945,0.3891829252
85,0.4206923544,0.387155503,0.4074742794,0.3876273632
86,0.4038722813,0.3848508298,0.3884079456,0.414131999
87,0.3867615461,0.3822458982,0.386674881,0.4123641551
88,0.4056661427,0.3827372491,0.3967629373,0.3813811839
89,0.4139263928,0.3830479681,0.3836341202,0.4042900503
90,0.4121108055,0.3797991574,0.3798672259,0.3724795878
91,0.451952368,0.4359747469,0.4130049944,0.4397466183
92,0.4472850561,0.4362689555,0.4375487566,0.4324392974
93,0.4770189822,0.4466480315,0.4362674057,0.472948879
94,0.473004818,0.4506419003,0.4592652023,0.4514126778
95,0.6582840085,0.6155091524,0.643157661,0.6304950118
96,0.7738249302,0.7149329782,0.7269328237,0.7377255559
97,0.7386220098,0.6844267845,0.7335915565,0.704103291
98,0.7490294576,0.686927855,0.6996586919,0.7144511342
99,0.6908925176,0.6226484776,0.6248466969,0.6205380559
100,0.651832819,0.5940223336,0.5976792574,0.5915723443
101,0.6278384328,0.5976457,0.6115077138,0.585537374
102,0.636464417,0.611258924,0.6219019294,0.6195114255
103,0.6378350854,0.594974339,0.6017916799,0.6167665124
104,0.6376050115,0.5946710706,0.6180765033,0.6026762128
105,0.6376995444,0.5952039361,0.6142435074,0.6049135327
106,0.6368430257,0.5886869431,0.574257791,0.5964185596
107,0.645078361,0.6095566154,0.5911548138,0.6422750354
108,0.6179218888,0.5982510448,0.597076714,0.607637465
109,0.6489765048,0.6004405022,0.5785167813,0.6061961055
110,0.6423826218,0.610552609,0.6095079184,0.6044704914
111,0.6359981894,0.6078886986,0.6299508214,0.6266571879
112,0.6493243575,0.6230221391,0.6332423091,0.6221101284
113,0.6520773172,0.6307364106,0.6681053042,0.6527796388
114,0.6522662044,0.6325157881,0.65973562,0.6476385593
115,0.6287950873,0.622217834,0.6133499742,0.6419139504
116,0.6364454627,0.6185304523,0.6062530875,0.6500179172
117,0.6291587949,0.6325267553,0.617307961,0.6122900248
118,0.6459199786,0.6457212567,0.6356892586,0.6429759264
119,0.6554473042,0.6545588374,0.6561553478,0.6502212286
120,0.6856269836,0.6730420589,0.6787149906,0.686291039
121,0.7199673653,0.7135982513,0.7302020192,0.7185438275
122,0.7172549367,0.7135974765,0.7227463722,0.7064738274
123,0.7085597515,0.7099175453,0.7090501785,0.7260241508
124,0.7142779827,0.7096530795,0.7095310092,0.7303960323
125,0.7015724778,0.7011256218,0.6903767586,0.6905739307
126,0.6884565353,0.6743022799,0.6836020947,0.6871058345
127,0.7088806033,0.6707236171,0.671831131,0.6832911372
128,0.6835184693,0.6649495959,0.6803544164,0.6792678237
129,0.6857417226,0.6657935977,0.6807618141,0.6766765118
130,0.670789063,0.6660043597,0.6838121414,0.6798521876
131,0.694586277,0.6683056951,0.6779489517,0.6884009242
132,0.6900119781,0.6698974967,0.6931677461,0.6821188927
133,0.7111099362,0.6839160919,0.6902254224,0.6820985675
134,0.7035852075,0.6833131909,0.6677718163,0.6917921901
135,0.7000918984,0.6792408824,0.6677742004,0.6996191144
136,0.7022272944,0.682852447,0.6490630507,0.7157551646
137,0.7036371231,0.6845319867,0.671620667,0.7110469937
138,0.7338573933,0.7182922363,0.7122575641,0.7239367962
139,0.7647063136,0.7344312668,0.7562456131,0.7350704074
140,0.7951665521,0.7596616745,0.7732655406,0.7601337433
141,0.7740673423,0.7421128154,0.7559046745,0.7477667928
142,0.7818670273,0.7494886518,0.7772641182,0.7421806455
143,0.6269349456,0.5905080438,0.6478577256,0.6256501675
144,0.5143496394,0.525662303,0.5203605294,0.5234232545
145,0.515352726,0.5197182298,0.5174997449,0.5379126668
146,0.5257902145,0.5196731687,0.5214594007,0.5232958794
147,0.5000819564,0.5140035748,0.519395113,0.5368698239
148,0.5119253993,0.5042159557,0.5163912177,0.5122899413
149,0.5031903386,0.5027365088,0.5041967034,0.5135840774
150,0.4966292381,0.4895095527,0.4808855951,0.4865663052
151,0.5260420442,0.5315063,0.5350026488,0.5582414269
152,0.534658134,0.5339487195,0.5218665004,0.5281839967
153,0.5440345407,0.5385432839,0.5386433005,0.5433867574
154,0.5404226184,0.5452051163,0.5527346134,0.5653657317
155,0.5131059289,0.5192574859,0.5129368305,0.5300891399
156,0.5128834248,0.5290745497,0.5441070199,0.5208471417
157,0.5163285136,0.5256314278,0.5482726097,0.5547670722
158,0.5051175952,0.5184653401,0.5149149299,0.5253565311
159,0.5085471272,0.5166040659,0.4994450808,0.5162465572
160,0.5031678677,0.5034968853,0.5105730891,0.5010945797
161,0.5081327558,0.4990417957,0.5033846498,0.5015602112
162,0.4984382689,0.5009471178,0.5259643793,0.504760325
163,0.5018250346,0.495916605,0.4938592017,0.5050378442
164,0.5077224374,0.4890515804,0.5032444596,0.4879613817
165,0.500127852,0.4695182741,0.4822801054,0.4663132131
166,0.4614776075,0.4667260647,0.4592498839,0.4653261006
167,0.4652682543,0.4521282017,0.4502588212,0.4519293308
168,0.448264122,0.4342982769,0.4216823578,0.4250453413
169,0.3852512836,0.3812846243,0.3760652542,0.3844397068
170,0.3817008436,0.3827902079,0.3935002387,0.3888249397
171,0.3969409466,0.3844548762,0.3897785246,0.3768908978
172,0.3919887841,0.3801418543,0.3892694414,0.3854981959
173,0.3677687943,0.3723809421,0.3853099346,0.382964462
174,0.3668717444,0.3792928159,0.3812066019,0.3795814514
175,0.381509155,0.3808708191,0.3843531311,0.3828805685
176,0.3784977496,0.3834182322,0.3802210093,0.3851150274
177,0.3528648317,0.3647041619,0.3420771658,0.3585011065
178,0.3649039567,0.3623744547,0.3457535207,0.3620587587
179,0.3661235869,0.3626960218,0.3613199294,0.3657038212
180,0.3769034445,0.3879704475,0.3794408739,0.4042231143
181,0.3677778244,0.3660996258,0.379416585,0.374445349
182,0.3749710321,0.3777741194,0.3842070401,0.3828404844
183,0.4285292327,0.42050457,0.4367430508,0.4364210665
184,0.4184411764,0.4216473997,0.4516304433,0.4223306477
185,0.4002390206,0.4227816164,0.4402242899,0.4332499206
186,0.3746638298,0.3920114934,0.3916906416,0.3907709122
187,0.3186570704,0.3417830169,0.3258409798,0.3575452268
188,0.3131202757,0.3428123891,0.3149242997,0.3531942666
189,0.3088925183,0.3424082696,0.3436113298,0.36303702
190,0.3137800694,0.3308735788,0.3274283707,0.3420369625
191,0.2874135673,0.3153962195,0.321400404,0.3285611868
192,0.2529467642,0.2714609206,0.2844391763,0.287461549
193,0.2561141551,0.2711892724,0.2828390896,0.2826347053
194,0.2499489337,0.2610119283,0.2697377801,0.2579417527
195,0.24524571,0.2549334764,0.270994097,0.263985306
196,0.2555050552,0.2571464777,0.2446653992,0.2554465532
197,0.2597801983,0.2567510009,0.2364923507,0.2641453147
198,0.2527029216,0.2559044063,0.2605593204,0.2754600942
199,0.2168950588,0.2118083835,0.2148272544,0.2191127986
200,0.237997815,0.2490462512,0.2541576922,0.2518361509
201,0.2516331077,0.2470159382,0.2644555271,0.2633621693
202,0.2525680959,0.2521906793,0.2560806572,0.2618393898
203,0.2535130084,0.2588504255,0.2523054183,0.2805128396
